Action, Iteration, CellID, NeighbourID, TransferAmount, HeatTransfered
Transfer, 1, 1, 2, 27.91225, 27.91225
Transfer, 1, 1, 3, 27.91225, 27.13316
Transfer, 1, 1, 4, 27.91225, 26.37581
Transfer, 1, 1, 2, 25.57497, 25.6396
Transfer, 1, 1, 3, 25.57497, 24.92394
Transfer, 1, 1, 4, 25.57497, 24.22826
Transfer, 1, 1, 2, 23.43341, 23.55199
Transfer, 1, 1, 3, 23.43341, 22.8946
Transfer, 1, 1, 4, 23.43341, 22.25556
Transfer, 1, 2, 1, 1.069744, 1.542077
Transfer, 1, 3, 1, 1.069744, 1.499034
Transfer, 1, 4, 1, 1.069744, 1.457192
Transfer, 1, 1, 2, 21.56075, 21.75992
Transfer, 1, 1, 3, 21.56075, 21.15255
Transfer, 1, 1, 4, 21.56075, 20.56214
Transfer, 1, 2, 1, 1.517017, 1.946434
Transfer, 1, 3, 1, 1.517017, 1.892105
Transfer, 1, 4, 1, 1.517017, 1.839291
Transfer, 1, 1, 2, 19.88235, 20.14668
Transfer, 1, 1, 3, 19.88235, 19.58434
Transfer, 1, 1, 4, 19.88235, 19.0377
Transfer, 1, 2, 1, 1.917892, 2.310439
Transfer, 1, 3, 1, 1.917892, 2.245949
Transfer, 1, 4, 1, 1.917892, 2.183259
Transfer, 1, 1, 2, 18.37807, 18.69443
Transfer, 1, 1, 3, 18.37807, 18.17263
Transfer, 1, 1, 4, 18.37807, 17.66539
Transfer, 1, 2, 1, 2.277181, 2.638119
Transfer, 1, 3, 1, 2.277181, 2.564483
Transfer, 1, 4, 1, 2.277181, 2.492902
Transfer, 1, 1, 2, 17.02983, 17.38711
Transfer, 1, 1, 3, 17.02983, 16.90179
Transfer, 1, 1, 4, 17.02983, 16.43003
Transfer, 1, 2, 1, 2.599199, 2.933098
Transfer, 1, 3, 1, 2.599199, 2.851229
Transfer, 1, 4, 1, 2.599199, 2.771644
Transfer, 1, 1, 2, 15.82146, 16.21025
Transfer, 1, 1, 3, 15.82146, 15.75778
Transfer, 1, 1, 4, 15.82146, 15.31795
Transfer, 1, 2, 1, 2.887812, 3.198641
Transfer, 1, 3, 1, 2.887812, 3.10936
Transfer, 1, 4, 1, 2.887812, 3.022571
Transfer, 1, 1, 2, 14.73844, 15.15083
Transfer, 1, 1, 3, 14.73844, 14.72793
Transfer, 1, 1, 4, 14.73844, 14.31685
Transfer, 1, 2, 1, 3.146485, 3.437685
Transfer, 1, 3, 1, 3.146485, 3.341732
Transfer, 1, 4, 1, 3.146485, 3.248456
Transfer, 1, 1, 2, 13.76776, 14.19713
Transfer, 1, 1, 3, 13.76776, 13.80086
Transfer, 1, 1, 4, 13.76776, 13.41564
Transfer, 1, 2, 1, 3.378324, 3.652874
Transfer, 1, 3, 1, 3.378324, 3.550914
Transfer, 1, 4, 1, 3.378324, 3.4518
Transfer, 1, 1, 2, 12.89779, 13.3386
Transfer, 1, 1, 3, 12.89779, 12.96629
Transfer, 1, 1, 4, 12.89779, 12.60437
Transfer, 1, 2, 1, 3.586112, 3.846588
Transfer, 1, 3, 1, 3.586112, 3.739221
Transfer, 1, 4, 1, 3.586112, 3.634852
Transfer, 1, 1, 2, 12.11805, 12.56575
Transfer, 1, 1, 3, 12.11805, 12.21501
Transfer, 1, 1, 4, 12.11805, 11.87406
Transfer, 1, 2, 1, 3.772346, 4.020972
Transfer, 1, 3, 1, 3.772346, 3.908737
Transfer, 1, 4, 1, 3.772346, 3.799636
Transfer, 1, 1, 2, 11.41921, 11.87003
Transfer, 1, 1, 3, 11.41921, 11.53871
Transfer, 1, 1, 4, 11.41921, 11.21664
Transfer, 1, 2, 1, 3.93926, 4.177953
Transfer, 1, 3, 1, 3.93926, 4.061337
Transfer, 1, 4, 1, 3.93926, 3.947976
Transfer, 1, 1, 2, 10.79287, 11.24373
Transfer, 1, 1, 3, 10.79287, 10.92989
Transfer, 1, 1, 4, 10.79287, 10.62481
Transfer, 1, 2, 1, 4.08886, 4.319269
Transfer, 1, 3, 1, 4.08886, 4.198708
Transfer, 1, 4, 1, 4.08886, 4.081513
Transfer, 1, 1, 2, 10.23149, 10.67993
Transfer, 1, 1, 3, 10.23149, 10.38183
Transfer, 1, 1, 4, 10.23149, 10.09205
Transfer, 1, 2, 1, 4.222939, 4.446482
Transfer, 1, 3, 1, 4.222939, 4.32237
Transfer, 1, 4, 1, 4.222939, 4.201724
Transfer, 1, 1, 2, 9.728356, 10.17239
Transfer, 1, 1, 3, 9.728356, 9.88846
Transfer, 1, 1, 4, 9.728356, 9.612451
Transfer, 1, 2, 1, 4.34311, 4.560999
Transfer, 1, 3, 1, 4.34311, 4.433692
Transfer, 1, 4, 1, 4.34311, 4.309938
Transfer, 1, 1, 2, 9.277413, 9.715508
Transfer, 1, 1, 3, 9.277413, 9.444326
Transfer, 1, 1, 4, 9.277413, 9.180714
Transfer, 1, 2, 1, 4.450815, 4.66409
Transfer, 1, 3, 1, 4.450815, 4.533904
Transfer, 1, 4, 1, 4.450815, 4.407353
Transfer, 1, 1, 2, 8.873249, 9.304214
Transfer, 1, 1, 3, 8.873249, 9.044512
Transfer, 1, 1, 4, 8.873249, 8.792059
Transfer, 1, 2, 1, 4.547348, 4.756893
Transfer, 1, 3, 1, 4.547348, 4.624116
Transfer, 1, 4, 1, 4.547348, 4.495048
Transfer, 1, 1, 2, 8.51101, 8.933966
Transfer, 1, 1, 3, 8.51101, 8.684599
Transfer, 1, 1, 4, 8.51101, 8.442192
Transfer, 1, 2, 1, 4.633865, 4.840434
Transfer, 1, 3, 1, 4.633865, 4.705326
Transfer, 1, 4, 1, 4.633865, 4.573991
Transfer, 1, 1, 2, 8.186349, 8.600665
Transfer, 1, 1, 3, 8.186349, 8.360601
Transfer, 1, 1, 4, 8.186349, 8.127238
Transfer, 1, 2, 1, 4.711408, 4.915638
