Iteration, CellID, InitialMol, FinalMol, InitialTemperature, FinalTemperature
0, 1, 0, 2000, 0, 2000
0, 2, 0, 0, 0, 0
0, 3, 0, 0, 0, 0
0, 4, 0, 0, 0, 0
1, 1, 2000, 1832.527, 2000, 1837.158
1, 2, 0, 55.8245, 0, 55.8245
1, 3, 0, 55.8245, 0, 54.26631
1, 4, 0, 55.8245, 0, 52.75161
2, 1, 1832.527, 1682.426, 1837.158, 1693.823
2, 2, 55.8245, 105.8579, 107.1037, 104.9616
2, 3, 55.8245, 105.8579, 104.1142, 102.0319
2, 4, 55.8245, 105.8579, 101.2081, 99.18397
3, 1, 1682.426, 1547.897, 1693.823, 1564.791
3, 2, 105.8579, 150.7011, 152.24, 149.1952
3, 3, 105.8579, 150.7011, 147.9907, 145.0309
3, 4, 105.8579, 150.7011, 143.8599, 140.9827
4, 1, 1547.897, 1427.323, 1564.791, 1448.636
4, 2, 150.7011, 190.8923, 192.8721, 189.0146
4, 3, 150.7011, 190.8923, 187.4886, 183.7388
4, 4, 150.7011, 190.8923, 182.2553, 178.6102
5, 1, 1427.323, 1319.257, 1448.636, 1344.073
5, 2, 190.8923, 226.9143, 229.4493, 224.8603
5, 3, 190.8923, 226.9143, 223.0449, 218.584
5, 4, 190.8923, 226.9143, 216.8192, 212.4828
6, 1, 1319.257, 1222.402, 1344.073, 1249.944
6, 2, 226.9143, 259.1994, 262.3764, 257.1289
6, 3, 226.9143, 259.1994, 255.0529, 249.9519
6, 4, 226.9143, 259.1994, 247.9338, 242.9751
7, 1, 1222.402, 1135.594, 1249.944, 1165.209
7, 2, 259.1994, 288.1354, 292.0177, 286.1773
7, 3, 259.1994, 288.1354, 283.8668, 278.1895
7, 4, 259.1994, 288.1354, 275.9434, 270.4246
8, 1, 1135.594, 1057.791, 1165.209, 1088.929
8, 2, 288.1354, 314.0697, 318.7009, 312.3269
8, 3, 288.1354, 314.0697, 309.8053, 303.6092
8, 4, 288.1354, 314.0697, 301.1579, 295.1347
9, 1, 1057.791, 988.0587, 1088.929, 1020.262
9, 2, 314.0697, 337.3136, 342.7213, 335.8669
9, 3, 314.0697, 337.3136, 333.1552, 326.4921
